Date;sta1;sta2;sta3;sta4;sta5
2008-01-01 00:00:00;;36.6;56.9;;51.6
2008-01-01 01:00:00;;30.5;45.8;;40.4
2008-01-01 02:00:00;;33.3;25.3;;78.9
2008-01-01 03:00:00;;;20.4;;39.4
2008-01-01 04:00:00;;35;35.1;;54.6
2008-01-01 05:00:00;18.1;29.5;23.7;;24.3
2008-01-01 06:00:00;;17;44;;16.8
2008-01-01 07:00:00;13.1;39.8;47.2;;
2008-01-01 08:00:00;;43.5;;;49.7
2008-01-01 09:00:00;28.2;66.5;38.4;;20.3
2008-01-01 10:00:00;42;134;67.7;;64.8
2008-01-01 11:00:00;48;86.5;65.7;;75.8
2008-01-01 12:00:00;;92;117.3;;65
2008-01-01 13:00:00;10.5;56.8;127.7;;89
2008-01-01 14:00:00;;63.5;60.6;;48.1
2008-01-01 15:00:00;;21;32;;60.9
2008-01-01 16:00:00;;98.3;36.3;;82.2
2008-01-01 17:00:00;;88.5;44.5;;98.8
2008-01-01 18:00:00;;73.8;83.8;;84.7
2008-01-01 19:00:00;;99.5;60.8;;126.8
2008-01-01 20:00:00;;129.5;34.1;;83
2008-01-01 21:00:00;20.4;117.5;62.4;;64.1
2008-01-01 22:00:00;;153.5;38.9;;73.7
2008-01-01 23:00:00;15.6;64;48.9;;77.7
2008-01-02 00:00:00;;56;53.9;;39.2
2008-01-02 01:00:00;;;;;27.9
2008-01-02 02:00:00;;45.7;21.5;;34.9
2008-01-02 03:00:00;;;47.1;;53.3
2008-01-02 04:00:00;10.5;41;27.6;;32
2008-01-02 05:00:00;;24.8;;;28.9
2008-01-02 06:00:00;14.8;73.3;45.5;;26.2
2008-01-02 07:00:00;;104.3;61.8;;76.2
2008-01-02 08:00:00;;113;22.5;;56.3
2008-01-02 09:00:00;20.2;162.1;58;;101.4
2008-01-02 10:00:00;36.6;116.2;130.1;;188.6
2008-01-02 11:00:00;;176.1;163.3;;97.1
2008-01-02 12:00:00;;75.7;269.7;;91.3
2008-01-02 13:00:00;;152.1;201.9;;40.3
2008-01-02 14:00:00;;92.5;188.1;;79.2
2008-01-02 15:00:00;;140.3;145.8;;72.8
2008-01-02 16:00:00;;118.4;117.8;;89.8
2008-01-02 17:00:00;;138.8;110.9;;82.9
2008-01-02 18:00:00;;138.6;121.1;;74.1
2008-01-02 19:00:00;;104;196.3;;60.3
2008-01-02 20:00:00;31;232.2;69;;81
2008-01-02 21:00:00;;228.3;95.6;;49.4
2008-01-02 22:00:00;24.7;147.3;179.1;;78.9
2008-01-02 23:00:00;;167.9;157.2;;91.3
2008-01-03 00:00:00;;19.9;67.2;;73.2
2008-01-03 01:00:00;;37.7;53.8;;25.7
2008-01-03 02:00:00;;31.1;34.1;;63.4
2008-01-03 03:00:00;;;;;72.5
2008-01-03 04:00:00;;24.2;29.2;;52.2
2008-01-03 05:00:00;;34;32.6;;46.3
2008-01-03 06:00:00;;42.4;;;51.7
2008-01-03 07:00:00;19.5;93.2;28.7;;33.2
2008-01-03 08:00:00;;76.3;;;50.7
2008-01-03 09:00:00;49.4;57.9;39.3;;55.9
2008-01-03 10:00:00;;84.1;75.2;;85.5
2008-01-03 11:00:00;36.5;71.7;49.6;;56.3
2008-01-03 12:00:00;;36.6;64.7;;80.4
2008-01-03 13:00:00;;66.1;43.4;;46.5
2008-01-03 14:00:00;;57.1;56.2;;44.9
2008-01-03 15:00:00;24.4;52;40.8;;51.2
2008-01-03 16:00:00;61.7;64.7;45.2;;63
2008-01-03 17:00:00;39.2;68.1;51.1;;84.2
2008-01-03 18:00:00;71.4;39.2;52.7;;68.7
2008-01-03 19:00:00;65.7;51;33.6;;95.1
